key,hash_id,cor_title,place_sender_name,place_sender_ref,sender_name,sender_ref,place_receiver_name,place_receiver_ref,receiver_name,receiver_ref,year,lat_x,long_x,name_x,country_code_x,lat_y,long_y,name_y,country_code_y,distance,path,path_count,path_norm
gen_id__0,1955_Freud_an_Schnitzler,"Freud, Sigmund: Briefe an Arthur Schnitzler. Hg. v. Heinrich Schnitzler. In: Neue deutsche Rundschau, Jg. 66/1(1955), S. 95–106. https://shared.acdh.oeaw.ac.at/schnitzler-briefe/1955_Freud-an-Schnitzler.pdf",Wien,https://sws.geonames.org/2761369/,Sigmund Freud,https://d-nb.info/gnd/118535315,Wien,https://sws.geonames.org/2761369/,Arthur Schnitzler,https://d-nb.info/gnd/118609807,conj,48.20849,16.37208,Vienna,AT,48.20849,16.37208,Vienna,AT,0.0,https://sws.geonames.org/2761369/__https://sws.geonames.org/2761369/,1197,0.1069576104453586
gen_id__0,1970_Schnitzler_Waissnix,"Arthur Schnitzler und Olga Waissnix: Liebe, die starb vor der Zeit. Ein Briefwechsel. Mit einem Vorwort von Hans Weigel. Mit 16 Seiten Kunstdruckbildern. Hg. v. Therese Nickl und Heinrich Schnitzler. Wien, München, Zürich: Verlag Fritz Molden 1970. (PDF: https://schnitzler-briefe.acdh.oeaw.ac.at)",Reichenau,https://sws.geonames.org/2767773/,Olga Waissnix,https://d-nb.info/gnd/118628526,Bad Ischl,https://sws.geonames.org/2782052/,Arthur Schnitzler,https://d-nb.info/gnd/118609807,low,48.45704,14.34875,Reichenau im Mühlkreis,AT,47.71109,13.61893,Bad Ischl,AT,99.17669987456516,https://sws.geonames.org/2767773/__https://sws.geonames.org/2782052/,1,0.0
gen_id__61,1970_Schnitzler_Waissnix,"Arthur Schnitzler und Olga Waissnix: Liebe, die starb vor der Zeit. Ein Briefwechsel. Mit einem Vorwort von Hans Weigel. Mit 16 Seiten Kunstdruckbildern. Hg. v. Therese Nickl und Heinrich Schnitzler. Wien, München, Zürich: Verlag Fritz Molden 1970. (PDF: https://schnitzler-briefe.acdh.oeaw.ac.at)","Wiener
                        Neustadt",https://sws.geonames.org/2761353/,Olga Waissnix,https://d-nb.info/gnd/118628526,Bad Ischl,https://sws.geonames.org/2782052/,Arthur Schnitzler,https://d-nb.info/gnd/118609807,1887,47.80485,16.23196,Wiener Neustadt,AT,47.71109,13.61893,Bad Ischl,AT,196.17638107879816,https://sws.geonames.org/2761353/__https://sws.geonames.org/2782052/,1,0.0
gen_id__68,1970_Schnitzler_Waissnix,"Arthur Schnitzler und Olga Waissnix: Liebe, die starb vor der Zeit. Ein Briefwechsel. Mit einem Vorwort von Hans Weigel. Mit 16 Seiten Kunstdruckbildern. Hg. v. Therese Nickl und Heinrich Schnitzler. Wien, München, Zürich: Verlag Fritz Molden 1970. (PDF: https://schnitzler-briefe.acdh.oeaw.ac.at)",Reichenau,https://sws.geonames.org/2767773/,"Olga
                        Waissnix",https://d-nb.info/gnd/118628526,Wien,https://sws.geonames.org/2761369/,Arthur Schnitzler,https://d-nb.info/gnd/118609807,1887,48.45704,14.34875,Reichenau im Mühlkreis,AT,48.20849,16.37208,Vienna,AT,152.53795374112028,https://sws.geonames.org/2767773/__https://sws.geonames.org/2761369/,4,0.0002682883205151
gen_id__171,1970_Schnitzler_Waissnix,"Arthur Schnitzler und Olga Waissnix: Liebe, die starb vor der Zeit. Ein Briefwechsel. Mit einem Vorwort von Hans Weigel. Mit 16 Seiten Kunstdruckbildern. Hg. v. Therese Nickl und Heinrich Schnitzler. Wien, München, Zürich: Verlag Fritz Molden 1970. (PDF: https://schnitzler-briefe.acdh.oeaw.ac.at)",Wien,https://sws.geonames.org/2761369/,Arthur Schnitzler,https://d-nb.info/gnd/118609807,Reichenau,https://sws.geonames.org/2767773/,"Charles
                        Waißnix",https://d-nb.info/gnd/1206963379,1890,48.20849,16.37208,Vienna,AT,48.45704,14.34875,Reichenau im Mühlkreis,AT,152.53795374112028,https://sws.geonames.org/2761369/__https://sws.geonames.org/2767773/,1,0.0
gen_id__228,1970_Schnitzler_Waissnix,"Arthur Schnitzler und Olga Waissnix: Liebe, die starb vor der Zeit. Ein Briefwechsel. Mit einem Vorwort von Hans Weigel. Mit 16 Seiten Kunstdruckbildern. Hg. v. Therese Nickl und Heinrich Schnitzler. Wien, München, Zürich: Verlag Fritz Molden 1970. (PDF: https://schnitzler-briefe.acdh.oeaw.ac.at)",Bad Hall,https://sws.geonames.org/2782054/,Olga Waissnix,https://d-nb.info/gnd/118628526,Wien,https://sws.geonames.org/2761369/,Arthur Schnitzler,https://d-nb.info/gnd/118609807,1893,48.03832,14.20773,Bad Hall,AT,48.20849,16.37208,Vienna,AT,162.23145254521827,https://sws.geonames.org/2782054/__https://sws.geonames.org/2761369/,1,0.0
gen_id__8,1972_Schnitzler_Auernheimer,"The Correspondence of Arthur Schnitzler and Raoul Auernheimer with Raoul Auernheimer’s Aphorism. Edited with introduction and notes by Donald G. Daviau and Jorun B. Johns. Chapel Hill: The University of North Carolina Press, 1972 (University of North Carolina Studies in the Germanic Languages and Literatures, 73).",Wien,https://sws.geonames.org/2761369/,"Auernheimer, Raoul",https://d-nb.info/gnd/118505033,Welsberg-Taisten,https://sws.geonames.org/3173140/,"Schnitzler, Arthur",https://d-nb.info/gnd/118609807,1907,48.20849,16.37208,Vienna,AT,46.75774,12.10556,Welsberg-Taisten,IT,359.67239372300673,https://sws.geonames.org/2761369/__https://sws.geonames.org/3173140/,1,0.0
gen_id__9,1972_Schnitzler_Auernheimer,"The Correspondence of Arthur Schnitzler and Raoul Auernheimer with Raoul Auernheimer’s Aphorism. Edited with introduction and notes by Donald G. Daviau and Jorun B. Johns. Chapel Hill: The University of North Carolina Press, 1972 (University of North Carolina Studies in the Germanic Languages and Literatures, 73).",Hinterbrühl,https://sws.geonames.org/2776358/,"Schnitzler, Arthur",https://d-nb.info/gnd/118609807,Wien,https://sws.geonames.org/2761369/,"Auernheimer, Raoul",https://d-nb.info/gnd/118505033,1908,48.08611,16.24809,Hinterbrühl,AT,48.20849,16.37208,Vienna,AT,16.440791191980825,https://sws.geonames.org/2776358/__https://sws.geonames.org/2761369/,6,0.0004471472008585
gen_id__10,1972_Schnitzler_Auernheimer,"The Correspondence of Arthur Schnitzler and Raoul Auernheimer with Raoul Auernheimer’s Aphorism. Edited with introduction and notes by Donald G. Daviau and Jorun B. Johns. Chapel Hill: The University of North Carolina Press, 1972 (University of North Carolina Studies in the Germanic Languages and Literatures, 73).",Rom,https://sws.geonames.org/3169070/,"Auernheimer, Raoul",https://d-nb.info/gnd/118505033,Wien,https://sws.geonames.org/2761369/,"Schnitzler, Arthur",https://d-nb.info/gnd/118609807,1909,41.89193,12.51133,Rome,IT,48.20849,16.37208,Vienna,AT,764.7741725205531,https://sws.geonames.org/3169070/__https://sws.geonames.org/2761369/,11,0.000894294401717
gen_id__11,1972_Schnitzler_Auernheimer,"The Correspondence of Arthur Schnitzler and Raoul Auernheimer with Raoul Auernheimer’s Aphorism. Edited with introduction and notes by Donald G. Daviau and Jorun B. Johns. Chapel Hill: The University of North Carolina Press, 1972 (University of North Carolina Studies in the Germanic Languages and Literatures, 73).","Madonna di
                        Campiglio",https://sws.geonames.org/3174326/,"Auernheimer, Raoul",https://d-nb.info/gnd/118505033,Edlach,https://sws.geonames.org/2780428/,"Schnitzler, Arthur",https://d-nb.info/gnd/118609807,1909,46.22671,10.82582,Madonna di Campiglio,IT,47.69255,15.80915,Edlach an der Rax,AT,412.72073221394027,https://sws.geonames.org/3174326/__https://sws.geonames.org/2780428/,1,0.0
