amount,receiver_name,receiver_ref
7168,"Salm, Constance de (CdS)",https://d-nb.info/gnd/116765968
5193,Carl Friedrich Gauß,https://d-nb.info/gnd/104234644
4617,"Trew, Christoph Jacob",https://d-nb.info/gnd/118802712
3631,Christoph Martin Wieland,https://d-nb.info/gnd/118632477
3371,August Wilhelm von Schlegel,https://d-nb.info/gnd/118607960
3081,Moritz von Sachsen,https://d-nb.info/gnd/118584138
2947,Jean Paul,https://d-nb.info/gnd/118557211
2832,"Schnitzler, Arthur",https://d-nb.info/gnd/118609807
2742,"Camerarius, Joachim d. J.",https://d-nb.info/gnd/119101459
2712,Johann Christoph Gottsched,https://d-nb.info/gnd/118541013
2488,"Volckamer, Johann Georg",https://d-nb.info/gnd/100865208
2409,"Rollett, Alexander",https://d-nb.info/gnd/119034557
2332,"Spohr, Louis",https://d-nb.info/gnd/118616366
1915,"Beurer, Johann Ambrosius",https://d-nb.info/gnd/136960308
1588,Philipp Melanchthon,https://d-nb.info/gnd/118580485
1488,"Osmund, Emanuel",https://d-nb.info/gnd/117154776
1334,Joachim Camerarius,https://d-nb.info/gnd/118518569
1331,"Weber, Carl Maria von",https://d-nb.info/gnd/118629662
1323,"Jähns, Friedrich Wilhelm",https://d-nb.info/gnd/11705867X
1161,"Dehmel, Richard",https://d-nb.info/gnd/118679236
1096,"Volckamer, Johann Georg",https://d-nb.info/gnd/104054891
1072,"Otto, Christian",https://d-nb.info/gnd/118590804
1058,Alexander von Humboldt,https://d-nb.info/gnd/118554700
907,Kf. Friedrich,https://d-nb.info/gnd/11853579X
867,Carl August Böttiger,https://d-nb.info/gnd/118824775
836,"Bahr, Hermann",https://d-nb.info/gnd/118505955
801,Oskar Samek,https://d-nb.info/gnd/1026890527
777,"Beer-Hofmann, Richard",https://d-nb.info/gnd/118654756
764,"Bölsche, Wilhelm",https://d-nb.info/gnd/118512706
710,"Heister, Lorenz",https://d-nb.info/gnd/118800310
663,"Schumacher, Heinrich Christian",https://d-nb.info/gnd/118611593
644,"Seuffert, Bernhard",https://d-nb.info/gnd/117470902
604,"Sauer, August",https://d-nb.info/gnd/118605747
588,"Knorr, Josephine von",https://d-nb.info/gnd/116260610
549,"Friedrich Wilhelm IV., König von Preußen",https://d-nb.info/gnd/118535994
532,Julius Pflug,https://d-nb.info/gnd/118714082
499,"Ebner-Eschenbach, Marie von",https://d-nb.info/gnd/118528661
460,"Encke, Johann Franz",https://d-nb.info/gnd/116471727
454,Adolf Stahr,https://d-nb.info/gnd/11875257X
450,"Richter, Caroline",https://d-nb.info/gnd/116512539
449,Wilhelm von Humboldt,https://d-nb.info/gnd/118554727
444,Johann Wolfgang von Goethe,https://d-nb.info/gnd/118540238
411,Ernst Christoph von Manteuffel,https://d-nb.info/gnd/118577352
407,Georg Joachim Göschen,https://d-nb.info/gnd/118695916
395,Lgf. Philipp von Hessen,https://d-nb.info/gnd/11859382X
392,Bettina von Arnim,https://d-nb.info/gnd/118504185
387,"Hofmannsthal, Hugo von",https://d-nb.info/gnd/118552759
383,Hz. Johann Friedrich von Sachsen,https://d-nb.info/gnd/118712373
376,Samuel Thomas von Soemmerring,https://d-nb.info/gnd/118805193
363,Christian Gottlob Heyne,https://d-nb.info/gnd/11855073X
357,August von Sachsen,https://d-nb.info/gnd/119458446
357,"Olbers, Wilhelm",https://d-nb.info/gnd/11858975X
356,"Rollett, Emil",https://d-nb.info/gnd/1068921056
342,August Böckh,https://d-nb.info/gnd/118808850
339,Aloys Hirt,https://d-nb.info/gnd/115368302
335,"Beutel, Johann Caspar",https://d-nb.info/gnd/121137864
334,"Weber, Caroline",https://d-nb.info/gnd/118816578
333,Friedrich Wilhelm Riemer,https://d-nb.info/gnd/116543671
330,"Thun, Leo von",https://d-nb.info/gnd/118757393
322,"Olfers, Ignaz Franz Werner Maria von",https://d-nb.info/gnd/11712110X
315,"Faber, Johann Matthaeus",https://d-nb.info/gnd/122172736
307,"Schmitt, Carl",https://d-nb.info/gnd/11860922X
306,Kf. Johann,https://d-nb.info/gnd/100503225
306,Marie Sophie La Roche,https://d-nb.info/gnd/118569767
305,Ferdinand I.,https://d-nb.info/gnd/118532502
301,Ludwig Boltzmann,https://d-nb.info/gnd/118513109
301,Johann Friedrich von Cotta,https://d-nb.info/gnd/11852240X
295,"Dehmel, Ida",https://d-nb.info/gnd/118679228
293,"Busoni, Ferruccio",https://d-nb.info/gnd/118518011
284,"Dold, Leonhard",https://d-nb.info/gnd/132394960
281,Fanny Lewald,https://d-nb.info/gnd/118572393
277,Johann Jakob Bodmer,https://d-nb.info/gnd/118512315
271,Christoph Martin Wieland,https://d-nb.info/gnd/1235988406
269,Christian Gottfried Ehrenberg,https://d-nb.info/gnd/118529250
268,"Liliencron, Detlev von",https://d-nb.info/gnd/118572954
254,Johann Gottlob Immanuel Breitkopf,https://d-nb.info/gnd/118809873
252,Ernst Ahasverus Heinrich Graf von Lehndorff,https://d-nb.info/gnd/118571125
250,Karl August Varnhagen von Ense,https://d-nb.info/gnd/118626167
246,"Raboteau, Pierre Paul",https://d-nb.info/gnd/1067648739
245,"Dietrich, Veit",https://d-nb.info/gnd/118671928
238,Ks. [Karl V.],https://d-nb.info/gnd/118560093
237,"Brümmer, Franz",https://d-nb.info/gnd/116751460
231,Friedrich Heinrich Jacobi,https://d-nb.info/gnd/118556312
230,Johann Georg Sulzer,https://d-nb.info/gnd/11879941X
228,Karl Leonhard Reinhold,https://d-nb.info/gnd/118599410
227,Georg III. von Anhalt,https://d-nb.info/gnd/118716891
226,Alexander Mendelssohn,https://d-nb.info/gnd/116876956
225,Hieronymus Baumgartner,https://d-nb.info/gnd/116067128
224,Karl Vom Stein Zum Altenstein,https://d-nb.info/gnd/11862783X
224,Georg Spalatin,https://d-nb.info/gnd/118798170
223,Wilhelm von Hessen,https://d-nb.info/gnd/118632922
211,"Jungermann, Ludwig",https://d-nb.info/gnd/117238333
210,Karl Philipp Spener,https://d-nb.info/gnd/117492175
204,Christian Wolff,https://d-nb.info/gnd/118634771
204,"Salm-Reifferscheidt-Dyck, Joseph Fürst und Altgraf zu (SRD)",https://d-nb.info/gnd/1159074453
201,"Speyer, Wilhelm",https://d-nb.info/gnd/117493236
199,Adam Rechenberg,https://d-nb.info/gnd/116373164
198,"Komerstadt, Georg von",https://d-nb.info/gnd/117737437
197,"Spiker, Samuel Heinrich",https://d-nb.info/gnd/117491055
192,Leopold Mozart,https://d-nb.info/gnd/118584588
181,Martin Luther,https://d-nb.info/gnd/118575449
181,"Ladoucette, Jean Charles François, baron de",https://d-nb.info/gnd/116643919
178,Carl Ritter,https://d-nb.info/gnd/11860130X
178,H. Berghaus,https://d-nb.info/gnd/118509470
176,"Faber, Johann Matthaeus",https://d-nb.info/gnd/172537053
175,Joachim Hektor II. von Brandenburg,https://d-nb.info/gnd/118557556
174,Emil du Bois-Reymond,https://d-nb.info/gnd/118527665
172,Herwarth Walden,https://d-nb.info/gnd/118770950
170,Hans Bloesch,https://d-nb.info/gnd/116203943
170,Johann Georg Cotta von Cottendorf,https://d-nb.info/gnd/11879972X
168,"Gerling, Christian Ludwig",https://d-nb.info/gnd/118690817
164,"Thieriot, Paul Emile",https://d-nb.info/gnd/117338370
162,Achim von Arnim,https://d-nb.info/gnd/118504177
161,"Böckenförde, Ernst-Wolfgang",https://d-nb.info/gnd/11952998X
161,"Apel, August",https://d-nb.info/gnd/116315865
159,"Hauptmann, Gerhart",https://d-nb.info/gnd/118546937
157,Philipp Jacob Spener,https://d-nb.info/gnd/118616099
155,Anna Maria Walpurga Mozart,https://d-nb.info/gnd/119285428
154,Christian Daniel Rauch,https://d-nb.info/gnd/118749218
153,Luise Adelgunde Victorie Kulmus,https://d-nb.info/gnd/118696734
152,Maria Anna Mozart,https://d-nb.info/gnd/11858460X
152,Albrecht von Preußen,https://d-nb.info/gnd/118637673
151,"Musiol, Robert",https://d-nb.info/gnd/117188921
149,"Gauß, Joseph",https://d-nb.info/gnd/11646884X
149,Carl Wilhelm Saegert,https://d-nb.info/gnd/141376139
148,"Meienburg, Michael",https://d-nb.info/gnd/130378453
148,Otto Brahm,https://d-nb.info/gnd/118514245
147,Propst [Justus Jonas],https://d-nb.info/gnd/118712926
142,August Hermann Francke,https://d-nb.info/gnd/118534688
139,Olga Waissnix,https://d-nb.info/gnd/118628526
138,Hz. Heinrich den Jüngeren von Braunschweig-Wolfenbüttel,https://d-nb.info/gnd/119024918
136,Hedy Kempny,https://d-nb.info/gnd/11872181X
135,"Meyerbeer, Giacomo",https://d-nb.info/gnd/118581945
134,Christian Thomasius,https://d-nb.info/gnd/11862220X
134,Johann von Brandenburg-Küstrin,https://d-nb.info/gnd/102111553
133,Olga Schnitzler,https://d-nb.info/gnd/116848723
131,Johann Georg Zimmermann,https://d-nb.info/gnd/118636979
130,Mgf. Albrecht,https://d-nb.info/gnd/118647776
128,Claire de Duras,https://d-nb.info/gnd/119543338
127,"Bessel, Friedrich Wilhelm",https://d-nb.info/gnd/118510215
127,"Théis, Alexandre Étienne Guillaume, baron de (Bruder der CdS)",https://d-nb.info/gnd/120564734
127,Karl Kraus,https://d-nb.info/gnd/118566288
126,"Gugel, Christoph Andreas",https://d-nb.info/gnd/122294238
126,Friedrich Wilhelm Joseph von Schelling,https://d-nb.info/gnd/118607057
126,"Brühl, Karl Moritz von",https://d-nb.info/gnd/118660276
125,Christoph von Carlowitz,https://d-nb.info/gnd/128556641
123,Johann Heinrich Merck,https://d-nb.info/gnd/118581015
123,Christian Karl Josias Bunsen,https://d-nb.info/gnd/118668005
122,"Mathesius, Johannes",https://d-nb.info/gnd/118731696
120,"Hofmannsthal, Gerty von",https://d-nb.info/gnd/116952199
118,Hermann von Helmholtz,https://d-nb.info/gnd/11854893X
118,Anne Louise Germaine de Staël-Holstein,https://d-nb.info/gnd/118616617
118,Marianne Pirker,https://d-nb.info/gnd/13590417X
117,F. Arago,https://d-nb.info/gnd/118847767
116,"Hoffmann, Johann Moritz",https://d-nb.info/gnd/100359035
116,"Weber, Gottfried",https://d-nb.info/gnd/118643231
116,"Mordeisen, Ulrich",https://d-nb.info/gnd/119767058
113,Friedrich Carl von Savigny,https://d-nb.info/gnd/118605909
113,Franz Bopp,https://d-nb.info/gnd/118659332
113,Johann Wilhelm Ludwig Gleim,https://d-nb.info/gnd/118717758
109,"Rochlitz, Friedrich",https://d-nb.info/gnd/118601644
108,"Wolfthorn, Julie",https://d-nb.info/gnd/1012920224
108,Karl Sigmund Franz Freiherr vom Stein zum Altenstein,http://d-nb.info/gnd/11862783X
108,Friedrich Justin Bertuch,https://d-nb.info/gnd/118510169
108,Carl Friedrich Ludwig Christian Graf von Lehndorff,https://d-nb.info/gnd/122701852
107,Philipp Erasmus Reich,https://d-nb.info/gnd/118809334
107,"Barbier, Antoine-Alexandre",https://d-nb.info/gnd/116051795
106,"Eber, Paul",https://d-nb.info/gnd/118681524
106,"Villenave, Mathieu-Guillaume-Thérèse",https://d-nb.info/gnd/117702587
105,Carl Thomas Mozart,https://d-nb.info/gnd/117145114
104,Christian III. von Dänemark,https://d-nb.info/gnd/119217120
103,"Winkler, Karl Theodor",https://d-nb.info/gnd/118633716
102,Stanisław Lubieniecki,https://d-nb.info/gnd/119357100
102,"Buchholzer, Georg",https://d-nb.info/gnd/128676566
102,Philipp Joseph von Rehfues,https://d-nb.info/gnd/116392576
102,Peters,https://d-nb.info/gnd/5135549-8
101,"Mayer, Johann Siegfried Wilhelm",https://d-nb.info/gnd/117546046
101,"Desjardins, Ernest",https://d-nb.info/gnd/117632880
100,Caroline Herder,https://d-nb.info/gnd/118549561
99,"Stigel, Johannes",https://d-nb.info/gnd/104318864
99,"Lichtenstein, Hinrich",https://d-nb.info/gnd/100190014
96,Carl Nicolai,https://d-nb.info/gnd/138233438
95,Johann Wilhelm Petersen,https://d-nb.info/gnd/119129779
95,Karl Friedrich Schinkel,https://d-nb.info/gnd/118607782
94,Franz Pirker,https://d-nb.info/gnd/138363803
93,"Sanson de Pongerville, Jean-Baptiste",https://d-nb.info/gnd/1157716393
93,"Besler, Hieronymus",https://d-nb.info/gnd/119615398
92,Louise Wilhelmine Henriette Fürstin von Anhalt-Dessau,https://d-nb.info/gnd/118729659
91,Friedrich Myconius,https://d-nb.info/gnd/118735454
89,"Dirichlet, Peter Gustav Lejeune",https://d-nb.info/gnd/11852593X
88,"Gänsbacher, Johann",https://d-nb.info/gnd/118814044
86,Friedrich Gottlieb Welcker,https://d-nb.info/gnd/118630741
86,"Mendelssohn Bartholdy, Felix",https://d-nb.info/gnd/118580779
86,"Jarnach, Philipp",https://d-nb.info/gnd/11928586X
85,Heinrich Julius Klaproth,https://d-nb.info/gnd/10082451X
83,"Böhm, Johannes",https://d-nb.info/gnd/109621251X
82,"Brandes, Georg",https://d-nb.info/gnd/118514326
82,Johann Karl Freiesleben,https://d-nb.info/gnd/104260106
82,"Seligmann, Johann Michael",https://d-nb.info/gnd/129251844
81,"Barth, Karl",https://d-nb.info/gnd/118506803
80,Gottlieb Spizel,https://d-nb.info/gnd/118616315
79,"Formey, Jean Henri Samuel",https://d-nb.info/gnd/119353210
78,"Friedrich Wilhelm III., Preußen, König",https://d-nb.info/gnd/118535986
77,Carl Meinhard Friedrich Wilhelm Heinrich Graf von Lehndorff,https://d-nb.info/gnd/133523624
77,"Huber, Hans",https://d-nb.info/gnd/118707469
76,Eduard Weber,https://d-nb.info/gnd/1037537823
76,"Hardenberg, Albert",https://d-nb.info/gnd/118720317
75,Botho Laserstein,https://d-nb.info/gnd/119035197
75,Kaiser Ferdinand III.,https://d-nb.info/gnd/118532529
75,Johann Gottfried von Herder,https://d-nb.info/gnd/118549553
74,Richard Fester,https://d-nb.info/gnd/116474874
74,"Pailliet, Jean Baptiste Joseph (Anwalt der CdS in Orléans, um 1829)",https://d-nb.info/gnd/121286169
73,Helmina von Chézy,https://d-nb.info/gnd/119360659
73,"Schlesinger, Adolph Martin",https://d-nb.info/gnd/118608096
73,"Hauptmann, Moritz",https://d-nb.info/gnd/118709143
72,"Fabricius, Septimus Andreas",https://d-nb.info/gnd/104228601
72,"Götz, Johann Christoph",https://d-nb.info/gnd/10311856X
72,Karl Ludwig von Knebel,https://d-nb.info/gnd/118777505
71,Johann Friedrich II. von Sachsen,https://d-nb.info/gnd/100031900
70,Johann Thomas Soemmerring,https://d-nb.info/gnd/117452343
70,"Medler, Nikolaus",https://d-nb.info/gnd/124246869
69,Ludwig Fachs,https://d-nb.info/gnd/125009496
69,Johann Lorenz Hagenauer,https://d-nb.info/gnd/136060501
69,Georg Andreas Reimer,https://d-nb.info/gnd/118831194
68,"Cracow, Georg",https://d-nb.info/gnd/117664251
68,"Otto, Renate",https://d-nb.info/gnd/117189545
67,"Hofmann, Caspar",https://d-nb.info/gnd/116951753
67,"Hesse, Adolph",https://d-nb.info/gnd/118704133
67,Achille Valenciennes,https://d-nb.info/gnd/117339385
67,Charles Duvinage,https://d-nb.info/gnd/130819735
67,"Drais, Pierre (Vertrauensmann der CdS)",https://d-nb.info/gnd/1188442287
67,"Jullien de Paris, Marc-Antoine",https://d-nb.info/gnd/118558730
67,Wolfgang Amadé Mozart,https://d-nb.info/gnd/118584596
66,"Schnitzler, Heinrich",https://d-nb.info/gnd/116848510
65,Auguste Luise Adolfine von Flotow,https://d-nb.info/gnd/1015523803
65,"Vogel, Erhard Friedrich",https://d-nb.info/gnd/100056458
65,Friedrich Schiller,https://d-nb.info/gnd/118607626
64,Heinrich Geßner,https://d-nb.info/gnd/116600217
64,Ahasver Fritsch,https://d-nb.info/gnd/119285452
64,"Crato, Johannes",https://d-nb.info/gnd/119440067
64,"Matzdorff, Carl August",https://d-nb.info/gnd/1073476820
63,Heinrich Voß,https://d-nb.info/gnd/100689590
62,"Behrens, Peter",https://d-nb.info/gnd/118508466
62,Friedrich de La Motte-Fouqué,https://d-nb.info/gnd/118534556
62,"Pollak, Robert Adam",https://d-nb.info/gnd/1020823992
61,"Virdung, Michael",https://d-nb.info/gnd/11743535X
61,"Kind, Johann Friedrich",https://d-nb.info/gnd/118885235
61,"Kühnel, Ambrosius",https://d-nb.info/gnd/119060949
61,Christian Lassen,https://d-nb.info/gnd/119512831
60,Charlotte von Kalb,https://d-nb.info/gnd/11871483X
60,Ludwig Tieck,https://d-nb.info/gnd/12989432X
60,"Schultz, Christoph Ludwig Friedrich",https://d-nb.info/gnd/117191787
60,Christian Friedrich Tieck,https://d-nb.info/gnd/118757490
60,Johannes von Müller,https://d-nb.info/gnd/118585045
60,"Wagner, Johann Ernst",https://d-nb.info/gnd/11709501X
59,"Linden, Gustaf",https://d-nb.info/gnd/117024562
59,"Fabricius, Georg",https://d-nb.info/gnd/118531735
59,"Glümer, Marie",https://d-nb.info/gnd/128385022
59,"Schumann, Clara",https://d-nb.info/gnd/11861164X
59,"Niethammer, Friedrich Immanuel",https://d-nb.info/gnd/118734865
59,Rahel Varnhagen von Ense,https://d-nb.info/gnd/118626175
59,Hz. Georg von Sachsen,https://d-nb.info/gnd/118716921
58,Carl Sigismund Kunth,https://d-nb.info/gnd/115674667
58,"Schumann, Robert",https://d-nb.info/gnd/118611666
58,Peter von Neumarck,https://d-nb.info/gnd/1012729575
57,"Thurn und Taxis, Therese Mathilde Amalie Fürstin von",https://d-nb.info/gnd/121734307
57,"Richter, Odilie Minna",https://d-nb.info/gnd/1033635006
57,[Nikolaus von] Amsdorf,https://d-nb.info/gnd/118645056
56,Friedrich Heinrich Jacobi,https://d-nb.info/gnd/1024788598
56,Joachim von Anhalt,https://d-nb.info/gnd/130468827
56,Jean-Baptiste Boussingault,https://d-nb.info/gnd/101165250
56,"Agricola, Johannes",https://d-nb.info/gnd/118501070
55,Franz Mendelssohn,https://d-nb.info/gnd/137018878
55,"Richter, Max",https://d-nb.info/gnd/116512636
55,"Collinus, Matthäus",https://d-nb.info/gnd/123176816
55,"Chytraeus, David",https://d-nb.info/gnd/119009137
55,Heinrich von Plauen,https://d-nb.info/gnd/104254041
55,"Harding, Carl Ludwig",https://d-nb.info/gnd/116474580
55,Rudolf Virchow,https://d-nb.info/gnd/118627198
55,"Oertel, Friedrich Benedikt von",https://d-nb.info/gnd/100802834
54,"Otto, Amöne",https://d-nb.info/gnd/117171417
54,Maria Löbel,https://d-nb.info/gnd/1028510764
54,Adolf Fritz Hvass,https://d-nb.info/gnd/117074748
53,Johann Jacob Heinrich Westphal,https://d-nb.info/gnd/119105063
