amount,lat_y,long_y,name_y,country_code_y
4958,52.52437,13.41053,Berlin,DE
4536,50.9803,11.32903,Weimar,DE
2769,48.20849,16.37208,Vienna,AT
2693,51.33962,12.37129,Leipzig,DE
2279,51.31667,9.5,Kassel,DE
1711,51.05089,13.73832,Dresden,DE
1402,47.36667,8.55,Zurich,CH
1080,49.45421,11.07752,Nuremberg,DE
978,50.08804,14.42076,Prague,CZ
816,50.11552,8.68417,Frankfurt am Main,DE
754,46.94809,7.44744,Bern,CH
591,46.20222,6.14569,Geneva,CH
572,50.92878,11.5899,Jena,DE
572,47.06667,15.45,Graz,AT
569,52.45052,13.62463,Friedrichshagen,DE
519,47.79941,13.04399,Salzburg,AT
517,50.9787,11.03283,Erfurt,DE
491,53.55073,9.99302,Hamburg,DE
490,51.50853,-0.12574,London,GB
488,46.516,6.63282,Lausanne,CH
484,48.2066,16.37341,Vienna,AT
475,48.13743,11.57549,Munich,DE
465,48.09345,9.79053,Biberach an der Riss,DE
460,51.53443,9.93228,Göttingen,DE
454,49.94782,11.57893,Bayreuth,DE
418,48.85341,2.3488,Paris,FR
408,49.40768,8.69079,Heidelberg,DE
391,48.78232,9.17702,Stuttgart,DE
352,48.37154,10.89851,Augsburg,DE
336,49.87167,8.65027,Darmstadt,DE
304,51.1,17.03333,Wroclaw,PL
291,49.4891,8.46694,Mannheim,DE
275,50.94823,10.70193,Gotha,DE
260,49.98419,8.2791,Mainz,DE
231,51.23812,6.78678,Düsseldorf-Pempelfort,DE
218,55.67594,12.56553,Copenhagen,DK
214,51.5018,10.7957,Nordhausen,DE
214,48.52961,12.16179,Landshut,DE
204,52.37052,9.73322,Hanover,DE
201,51.83864,12.24555,Dessau,DE
194,47.55839,7.57327,Basel,CH
192,51.56016,12.99617,Torgau,DE
185,52.26594,10.52673,Braunschweig,DE
185,49.79391,9.95121,Würzburg,DE
185,51.14987,11.80979,Naumburg,DE
182,50.82567,15.52274,Szklarska Poręba,PL
178,50.10061,8.76647,Offenbach,DE
169,48.12863,9.79749,Warthausen,DE
166,48.52266,9.05222,Tübingen,DE
160,51.89562,11.05622,Halberstadt,DE
158,51.48158,11.97947,Halle,DE
153,51.01815,11.42746,Oßmannstedt,DE
152,48.58392,7.74553,Strasbourg,FR
149,51.83976,16.33438,Osowa Sień,PL
147,45.07049,7.68682,Turin,IT
144,52.60701,12.87374,Nauen,DE
138,47.76667,13.36667,Saint Gilgen,AT
138,50.98763,12.43684,Altenburg,DE
132,50.35846,12.93465,Jáchymov,CZ
130,59.32938,18.06871,Stockholm,SE
129,51.22172,6.77616,Düsseldorf,DE
128,47.48096,8.20869,Brugg,CH
127,50.31297,11.91261,Hof,DE
124,50.04937,10.22175,Schweinfurt,DE
118,50.25937,10.96384,Coburg,DE
118,51.35478,11.98923,Merseburg,DE
118,54.0887,12.14049,Rostock,DE
111,41.89193,12.51133,Rome,IT
111,49.01513,12.10161,Regensburg,DE
110,50.73438,7.09549,Bonn,DE
109,50.80904,8.77069,Marburg,DE
105,53.07582,8.80717,Bremen,DE
103,52.34714,14.55062,Frankfurt (Oder),DE
100,49.00937,8.40444,Karlsruhe,DE
98,50.93333,6.95,Cologne,DE
96,45.46427,9.18951,Milan,IT
95,45.40797,11.88586,Padua,IT
90,51.52754,11.54835,Eisleben Lutherstadt,DE
88,51.04962,12.1369,Zeitz,DE
87,44.49381,11.33875,Bologna,IT
86,47.71109,13.61893,Bad Ischl,AT
85,47.1237,7.27887,Brügg,CH
84,54.14054,10.60751,Eutin,DE
84,59.93863,30.31413,St Petersburg,RU
83,53.86893,10.68729,Lübeck,DE
82,52.504,13.352,Berlin,DE
81,46.25858,6.11063,Ferney-Voltaire,FR
81,53.60194,10.15667,Rahlstedt,DE
81,54.70649,20.51095,Kaliningrad,RU
80,52.12773,11.62916,Magdeburg,DE
78,52.37403,4.88969,Amsterdam,NL
76,50.72043,11.34046,Rudolstadt,DE
75,32.75,129.88333,Nagasaki,JP
75,50.82264,15.61655,Jagniątków,PL
72,49.63278,8.35916,Worms,DE
72,51.16158,13.4737,Meissen,DE
71,49.89873,10.90067,Bamberg,DE
69,54.32133,10.13489,Kiel,DE
67,53.62937,11.41316,Schwerin,DE
63,48.13307,16.25839,Rodaun,AT
63,45.43713,12.33265,Venice,IT
62,51.73298,13.04729,Annaburg,DE
60,52.5233,13.41377,"Berlin, Stadt",DE
60,46.36091,6.93272,Roche,CH
58,50.94819,10.70212,Gotha,DE
58,50.64826,11.36536,Saalfeld,DE
58,52.26065,9.04939,Bückeburg,DE
57,51.84172,12.42116,Wörlitz,DE
55,35.43333,139.65,Yokohama,JP
54,50.56787,10.41521,Meiningen,DE
53,50.22269,11.93226,Schwarzenbach a.d.Saale,DE
52,51.9662,12.08517,Zerbst,DE
50,52.16442,10.54095,Wolfenbüttel,DE
50,39.76,-98.5,United States,US
49,50.24921,12.03422,Rehau-Pilgramsreuth,DE
48,51.8661,12.64973,Wittenberg,DE
48,44.90203,-90.0229,Town of Wien,US
48,50.91089,13.33881,Freiberg,DE
48,52.62264,10.08047,Celle,DE
48,48.39841,9.99155,Ulm,DE
47,50.95843,13.93702,Pirna,DE
46,50.9807,10.31522,Eisenach,DE
46,50.58727,8.67554,Giessen,DE
46,52.41368,12.55411,Altstadt,DE
45,54.35227,18.64912,Gdansk,PL
45,51.96236,7.62571,Münster,DE
44,50.92957,10.9795,Bischleben-Stedten,DE
42,49.65829,13.8178,Praha,CZ
42,50.88029,12.08187,Gera,DE
41,47.43796,8.14722,Veltheim,CH
40,49.11127,9.73908,Schwäbisch Hall,DE
40,50.8357,12.92922,Chemnitz,DE
39,50.36012,7.62013,Ehrenbreitstein,DE
39,50.39067,11.87329,Töpen,DE
39,52.15077,9.95112,Hildesheim,DE
38,50.77368,6.22595,Stolberg,DE
38,49.30481,10.5931,Ansbach,DE
38,52.39886,13.06566,Potsdam,DE
38,49.83826,24.02324,Lviv,UA
37,49.37885,10.18711,Rothenburg upon Tauber,DE
36,48.00543,16.23264,Baden bei Wien,AT
36,45.74846,4.84671,Lyon,FR
36,53.2509,10.41409,Lüneburg,DE
35,47.50564,8.72413,Winterthur,CH
34,52.5,13.41667,Land Berlin,DE
34,49.44287,11.86267,Amberg,DE
33,49.04018,9.09386,Bönnigheim,DE
33,40.85216,14.26811,Naples,IT
32,49.32083,8.43111,Speyer,DE
32,48.15389,11.54806,"Munich, Urban District",DE
32,46.55178,9.32217,Splügen,CH
32,50.72136,10.44386,Schmalkalden,DE
32,47.32067,7.89986,Aarburg,CH
31,51.59234,11.45223,Mansfeld,DE
30,49.97704,9.15214,A-Burg,DE
29,47.80067,13.04532,Salzburg Stadt,AT
29,49.59099,11.00783,Erlangen,DE
29,50.23271,12.87117,Karlovy Vary,CZ
28,50.77664,6.08342,Aachen,DE
28,44.05755,12.56528,Rimini,IT
27,53.55,9.93333,Altona,DE
26,51.01467,13.86595,Hosterwitz,DE
24,54.09311,13.38786,Greifswald,DE
24,50.33544,7.71369,Bad Ems,DE
24,51.8667,10.0333,Bad Gandersheim,DE
24,51.41505,9.65046,Hannoversch Münden,DE
24,51.36973,10.87011,Sondershausen,DE
24,50.57953,13.00627,Annaberg-Buchholz,DE
23,50.72724,12.48839,Zwickau,DE
23,51.53827,12.80379,Wildenhain,DE
23,49.3856,11.3573,Altdorf bei Nurnberg,DE
23,50.51076,10.75658,Schleusingen,DE
23,40.71427,-74.00597,New York,US
22,49.3961,15.59124,Jihlava,CZ
22,46.33939,9.55759,Promontogno,CH
22,47.26266,11.39454,Innsbruck,AT
22,52.27264,8.0498,Osnabrück,DE
21,51.77837,11.57724,Warmsdorf,DE
21,51.20148,11.96843,Weißenfels,DE
21,50.54196,8.99034,Laubach,DE
20,51.23333,12.55,Belgershain,DE
20,47.6698,13.78453,Altaussee,AT
20,59.85882,17.63889,Uppsala,SE
20,43.61093,3.87635,Montpellier,FR
20,51.20896,10.45275,Mühlhausen,DE
19,56.946,24.10589,Riga,LV
19,47.60998,13.78243,Bad Aussee,AT
19,49.82279,14.62428,Bukovany,CZ
19,50.4265,10.7259,Hildburghausen,DE
18,47.95514,8.49707,Donaueschingen,DE
