amount,sender_name,sender_ref
6840,Philipp Melanchthon,https://d-nb.info/gnd/118580485
5743,Jean Paul,https://d-nb.info/gnd/118557211
5162,Alexander von Humboldt,https://d-nb.info/gnd/118554700
3506,Christoph Martin Wieland,https://d-nb.info/gnd/118632477
2969,"Schnitzler, Arthur",https://d-nb.info/gnd/118609807
2761,"Salm, Constance de (CdS)",https://d-nb.info/gnd/116765968
2556,"Gauß, Carl Friedrich",https://d-nb.info/gnd/104234644
2442,Moritz von Sachsen,https://d-nb.info/gnd/118584138
2285,Philipp Jacob Spener,https://d-nb.info/gnd/118616099
2029,August Wilhelm von Schlegel,https://d-nb.info/gnd/118607960
2012,"Weber, Carl Maria von",https://d-nb.info/gnd/118629662
1937,"Spohr, Louis",https://d-nb.info/gnd/118616366
1281,"Crato, Johannes",https://d-nb.info/gnd/119440067
979,"Hofmannsthal, Hugo von",https://d-nb.info/gnd/118552759
863,Heinrich Christian Schumacher,https://d-nb.info/gnd/118611593
852,"Trew, Christoph Jacob",https://d-nb.info/gnd/118802712
840,Georg Forster,https://d-nb.info/gnd/118534416
834,Johann Wolfgang von Goethe,https://d-nb.info/gnd/118540238
824,"Loelius, Johann Lorenz Ludwig",https://d-nb.info/gnd/12102458X
812,Oskar Samek,https://d-nb.info/gnd/1026890527
809,"Liliencron, Detlev von",https://d-nb.info/gnd/118572954
682,Kf. Friedrich,https://d-nb.info/gnd/11853579X
682,"Bahr, Hermann",https://d-nb.info/gnd/118505955
644,"Sauer, August",https://d-nb.info/gnd/118605747
622,Wilhelm von Humboldt,https://d-nb.info/gnd/118554727
604,"Seuffert, Bernhard",https://d-nb.info/gnd/117470902
580,"Ebner-Eschenbach, Marie von",https://d-nb.info/gnd/118528661
552,Aloys Hirt,https://d-nb.info/gnd/115368302
547,"Weber, Caroline",https://d-nb.info/gnd/118816578
541,"Jähns, Friedrich Wilhelm",https://d-nb.info/gnd/11705867X
